year,period,institution,sector,fle,public20,source_id,locator
2020,2020-2021,Burman University,Independent Academic Institutions,353.468,False,alberta_lers_fle_2024_25,By Sector and Institution!E172
2020,2020-2021,Concordia University of Edmonton,Independent Academic Institutions,2584.2,False,alberta_lers_fle_2024_25,By Sector and Institution!E173
2020,2020-2021,"King's University, The",Independent Academic Institutions,689.172,False,alberta_lers_fle_2024_25,By Sector and Institution!E174
2020,2020-2021,St. Mary's University,Independent Academic Institutions,882,False,alberta_lers_fle_2024_25,By Sector and Institution!E175
2020,2020-2021,Lethbridge Polytechnic,Polytechnic Institutions,4338.932,True,alberta_lers_fle_2024_25,By Sector and Institution!E177
2020,2020-2021,Northern Alberta Institute of Technology,Polytechnic Institutions,13048.243,True,alberta_lers_fle_2024_25,By Sector and Institution!E178
2020,2020-2021,Northwestern Polytechnic,Polytechnic Institutions,1604.244,True,alberta_lers_fle_2024_25,By Sector and Institution!E179
2020,2020-2021,Red Deer Polytechnic,Polytechnic Institutions,3603.114,True,alberta_lers_fle_2024_25,By Sector and Institution!E180
2020,2020-2021,Southern Alberta Institute of Technology,Polytechnic Institutions,13105.664,True,alberta_lers_fle_2024_25,By Sector and Institution!E181
2020,2020-2021,Alberta University of the Arts,Undergraduate Universities,864.05,True,alberta_lers_fle_2024_25,By Sector and Institution!E183
2020,2020-2021,Grant MacEwan University,Undergraduate Universities,12658.675,True,alberta_lers_fle_2024_25,By Sector and Institution!E184
2020,2020-2021,Mount Royal University,Undergraduate Universities,11042.448,True,alberta_lers_fle_2024_25,By Sector and Institution!E185
2021,2021-2022,Athabasca University,Comprehensive Academic and Research Universities,10051.902,True,alberta_lers_fle_2024_25,By Sector and Institution!E188
2021,2021-2022,University of Alberta,Comprehensive Academic and Research Universities,41198.468,True,alberta_lers_fle_2024_25,By Sector and Institution!E189
2021,2021-2022,University of Calgary,Comprehensive Academic and Research Universities,32206.191,True,alberta_lers_fle_2024_25,By Sector and Institution!E190
2021,2021-2022,University of Lethbridge,Comprehensive Academic and Research Universities,7722.826,True,alberta_lers_fle_2024_25,By Sector and Institution!E191
2021,2021-2022,Bow Valley College,Comprehensive Community Colleges,7887.203,True,alberta_lers_fle_2024_25,By Sector and Institution!E193
2021,2021-2022,Keyano College,Comprehensive Community Colleges,1059.737,True,alberta_lers_fle_2024_25,By Sector and Institution!E194
2021,2021-2022,Lakeland College,Comprehensive Community Colleges,1970.494,True,alberta_lers_fle_2024_25,By Sector and Institution!E195
2021,2021-2022,Medicine Hat College,Comprehensive Community Colleges,1813.527,True,alberta_lers_fle_2024_25,By Sector and Institution!E196
2021,2021-2022,NorQuest College,Comprehensive Community Colleges,8141.381,True,alberta_lers_fle_2024_25,By Sector and Institution!E197
2021,2021-2022,Northern Lakes College,Comprehensive Community Colleges,1420.923,True,alberta_lers_fle_2024_25,By Sector and Institution!E198
2021,2021-2022,Olds College,Comprehensive Community Colleges,1388.026,True,alberta_lers_fle_2024_25,By Sector and Institution!E199
2021,2021-2022,Portage College,Comprehensive Community Colleges,1167.899,True,alberta_lers_fle_2024_25,By Sector and Institution!E200
2021,2021-2022,Ambrose University,Independent Academic Institutions,440.785,False,alberta_lers_fle_2024_25,By Sector and Institution!E202
2021,2021-2022,Burman University,Independent Academic Institutions,312.724,False,alberta_lers_fle_2024_25,By Sector and Institution!E203
2021,2021-2022,Concordia University of Edmonton,Independent Academic Institutions,2424.646,False,alberta_lers_fle_2024_25,By Sector and Institution!E204
2021,2021-2022,"King's University, The",Independent Academic Institutions,724.607,False,alberta_lers_fle_2024_25,By Sector and Institution!E205
2021,2021-2022,St. Mary's University,Independent Academic Institutions,883.524,False,alberta_lers_fle_2024_25,By Sector and Institution!E206
2021,2021-2022,Lethbridge Polytechnic,Polytechnic Institutions,4300.529,True,alberta_lers_fle_2024_25,By Sector and Institution!E208
2021,2021-2022,Northern Alberta Institute of Technology,Polytechnic Institutions,12677.562,True,alberta_lers_fle_2024_25,By Sector and Institution!E209
2021,2021-2022,Northwestern Polytechnic,Polytechnic Institutions,1557.721,True,alberta_lers_fle_2024_25,By Sector and Institution!E210
2021,2021-2022,Red Deer Polytechnic,Polytechnic Institutions,3672.877,True,alberta_lers_fle_2024_25,By Sector and Institution!E211
2021,2021-2022,Southern Alberta Institute of Technology,Polytechnic Institutions,13820.167,True,alberta_lers_fle_2024_25,By Sector and Institution!E212
2021,2021-2022,Alberta University of the Arts,Undergraduate Universities,879.2,True,alberta_lers_fle_2024_25,By Sector and Institution!E214
2021,2021-2022,Grant MacEwan University,Undergraduate Universities,12617.572,True,alberta_lers_fle_2024_25,By Sector and Institution!E215
2021,2021-2022,Mount Royal University,Undergraduate Universities,11139.994,True,alberta_lers_fle_2024_25,By Sector and Institution!E216
2022,2022-2023,Athabasca University,Comprehensive Academic and Research Universities,9430.866,True,alberta_lers_fle_2024_25,By Sector and Institution!E219
2022,2022-2023,University of Alberta,Comprehensive Academic and Research Universities,43314.938,True,alberta_lers_fle_2024_25,By Sector and Institution!E220
2022,2022-2023,University of Calgary,Comprehensive Academic and Research Universities,32915.312,True,alberta_lers_fle_2024_25,By Sector and Institution!E221
2022,2022-2023,University of Lethbridge,Comprehensive Academic and Research Universities,7218.532,True,alberta_lers_fle_2024_25,By Sector and Institution!E222
2022,2022-2023,Bow Valley College,Comprehensive Community Colleges,8869.655,True,alberta_lers_fle_2024_25,By Sector and Institution!E224
2022,2022-2023,Keyano College,Comprehensive Community Colleges,1277.177,True,alberta_lers_fle_2024_25,By Sector and Institution!E225
2022,2022-2023,Lakeland College,Comprehensive Community Colleges,2087.185,True,alberta_lers_fle_2024_25,By Sector and Institution!E226
2022,2022-2023,Medicine Hat College,Comprehensive Community Colleges,1918.252,True,alberta_lers_fle_2024_25,By Sector and Institution!E227
2022,2022-2023,NorQuest College,Comprehensive Community Colleges,9997.577,True,alberta_lers_fle_2024_25,By Sector and Institution!E228
2022,2022-2023,Northern Lakes College,Comprehensive Community Colleges,1639.237,True,alberta_lers_fle_2024_25,By Sector and Institution!E229
2022,2022-2023,Olds College,Comprehensive Community Colleges,1515.504,True,alberta_lers_fle_2024_25,By Sector and Institution!E230
2022,2022-2023,Portage College,Comprehensive Community Colleges,1409.27,True,alberta_lers_fle_2024_25,By Sector and Institution!E231
2022,2022-2023,Ambrose University,Independent Academic Institutions,445.467,False,alberta_lers_fle_2024_25,By Sector and Institution!E233
2022,2022-2023,Burman University,Independent Academic Institutions,319.377,False,alberta_lers_fle_2024_25,By Sector and Institution!E234
2022,2022-2023,Concordia University of Edmonton,Independent Academic Institutions,2168.12,False,alberta_lers_fle_2024_25,By Sector and Institution!E235
2022,2022-2023,"King's University, The",Independent Academic Institutions,675.516,False,alberta_lers_fle_2024_25,By Sector and Institution!E236
2022,2022-2023,St. Mary's University,Independent Academic Institutions,829.714,False,alberta_lers_fle_2024_25,By Sector and Institution!E237
2022,2022-2023,Lethbridge Polytechnic,Polytechnic Institutions,4427.778,True,alberta_lers_fle_2024_25,By Sector and Institution!E239
2022,2022-2023,Northern Alberta Institute of Technology,Polytechnic Institutions,13389.302,True,alberta_lers_fle_2024_25,By Sector and Institution!E240
2022,2022-2023,Northwestern Polytechnic,Polytechnic Institutions,1637.084,True,alberta_lers_fle_2024_25,By Sector and Institution!E241
2022,2022-2023,Red Deer Polytechnic,Polytechnic Institutions,4134.736,True,alberta_lers_fle_2024_25,By Sector and Institution!E242
2022,2022-2023,Southern Alberta Institute of Technology,Polytechnic Institutions,15034.152,True,alberta_lers_fle_2024_25,By Sector and Institution!E243
2022,2022-2023,Alberta University of the Arts,Undergraduate Universities,967.1,True,alberta_lers_fle_2024_25,By Sector and Institution!E245
2022,2022-2023,Grant MacEwan University,Undergraduate Universities,12558.84,True,alberta_lers_fle_2024_25,By Sector and Institution!E246
2022,2022-2023,Mount Royal University,Undergraduate Universities,11144.291,True,alberta_lers_fle_2024_25,By Sector and Institution!E247
2023,2023-2024,Athabasca University,Comprehensive Academic and Research Universities,9207.998,True,alberta_lers_fle_2024_25,By Sector and Institution!E250
2023,2023-2024,University of Alberta,Comprehensive Academic and Research Universities,44059.881,True,alberta_lers_fle_2024_25,By Sector and Institution!E251
2023,2023-2024,University of Calgary,Comprehensive Academic and Research Universities,35582.771,True,alberta_lers_fle_2024_25,By Sector and Institution!E252
2023,2023-2024,University of Lethbridge,Comprehensive Academic and Research Universities,7434.848,True,alberta_lers_fle_2024_25,By Sector and Institution!E253
2023,2023-2024,Bow Valley College,Comprehensive Community Colleges,9624.69,True,alberta_lers_fle_2024_25,By Sector and Institution!E255
2023,2023-2024,Keyano College,Comprehensive Community Colleges,2164.33,True,alberta_lers_fle_2024_25,By Sector and Institution!E256
2023,2023-2024,Lakeland College,Comprehensive Community Colleges,2233.372,True,alberta_lers_fle_2024_25,By Sector and Institution!E257
2023,2023-2024,Medicine Hat College,Comprehensive Community Colleges,2118.95,True,alberta_lers_fle_2024_25,By Sector and Institution!E258
2023,2023-2024,NorQuest College,Comprehensive Community Colleges,11374.196,True,alberta_lers_fle_2024_25,By Sector and Institution!E259
2023,2023-2024,Northern Lakes College,Comprehensive Community Colleges,1845.989,True,alberta_lers_fle_2024_25,By Sector and Institution!E260
2023,2023-2024,Olds College,Comprehensive Community Colleges,1996.953,True,alberta_lers_fle_2024_25,By Sector and Institution!E261
2023,2023-2024,Portage College,Comprehensive Community Colleges,1615.229,True,alberta_lers_fle_2024_25,By Sector and Institution!E262
2023,2023-2024,Ambrose University,Independent Academic Institutions,461.064,False,alberta_lers_fle_2024_25,By Sector and Institution!E264
2023,2023-2024,Burman University,Independent Academic Institutions,305.836,False,alberta_lers_fle_2024_25,By Sector and Institution!E265
2023,2023-2024,Concordia University of Edmonton,Independent Academic Institutions,2146.427,False,alberta_lers_fle_2024_25,By Sector and Institution!E266
2023,2023-2024,"King's University, The",Independent Academic Institutions,685.754,False,alberta_lers_fle_2024_25,By Sector and Institution!E267
2023,2023-2024,St. Mary's University,Independent Academic Institutions,799.145,False,alberta_lers_fle_2024_25,By Sector and Institution!E268
